Test dataset Accuracy = 0.04,Step = 102
Test dataset Cost = 0,Step = 102
Test dataset Recall = nan,Step = 102
Test dataset Precision = nan,Step = 102
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00374586,Step = 103
Test dataset MSE = 0.117005,Step = 103
Test dataset Accuracy = 0.04,Step = 103
Test dataset Cost = 0,Step = 103
Test dataset Recall = nan,Step = 103
Test dataset Precision = nan,Step = 103
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00374536,Step = 104
Test dataset MSE = 0.117724,Step = 104
Test dataset Accuracy = 0.04,Step = 104
Test dataset Cost = 0,Step = 104
